image,path,set,width,height,x_com_norm,y_com_norm,dx,dy,d,lr_imbalance,tb_imbalance,q_tl,q_tr,q_bl,q_br,sym_lr,sym_tb,sym_rot180,sym_lr_diff,sym_tb_diff,sym_rot180_diff,neg_space_pct,neg_largest_region_pct,neg_largest_centroid_x_norm,neg_largest_centroid_y_norm,neg_method,neg_rule,qt_total_leaves,qt_blank_leaves,qt_blank_leaf_ratio,qt_largest_blank_leaf_area_pct,qt_largest_blank_leaf_depth,qt_largest_blank_rect_w_norm,qt_largest_blank_rect_h_norm,qt_largest_blank_rect_aspect,qt_largest_blank_rect_cx_norm,qt_largest_blank_rect_cy_norm,qt_blank_leaf_depth_mean,qt_blank_leaf_depth_std,qt_blank_leaf_depth_wmean,qt_blank_depth_entropy,qt_blank_depth_entropy_norm,qt_blank_depth_max,qt_max_depth,qt_min_size,qt_mask_method,qt_rule,qt_thr,qt_blank_percentile,rot_thirds_luma_mean,rot_intersections_luma_mean,rot_band_frac,rot_patch_frac,rot_thirds_sat_mean,rot_intersections_sat_mean,lines_edge_pct,lines_static_energy,lines_dynamic_energy,lines_dynamic_to_static,lines_edge_percentile,lines_angle_band_deg,detail_edge_density,detail_edge_percentile
10pm_feeding_around_the_clock.webp,data\real\images\10pm_feeding_around_the_clock.webp,real,750,749,0.47782815991186917,0.5447328083607023,-0.022171840088130834,0.04473280836070226,0.04992609174298504,-0.07458792168336469,0.1625230157574047,0.21076951782718376,0.20796894449253756,0.3265243983121341,0.25473707976499194,0.6512201321209288,0.43804198073053,0.333035772083748,0.1627642959356308,0.26224765181541443,0.3112506568431854,0.2558059635068981,0.002109479305740988,0.8394970464135022,0.15352115056362067,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),15790,178,0.011272957568081063,0.00025634178905206944,6.0,0.016,0.01602136181575434,0.9999999991666666,0.116,0.17890520694259013,6.994381904602051,0.07474233210086823,6.976451396942139,0.16092642008967945,0.16092642008956334,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),0.0009854882955551147,25.0,0.4312816262245178,0.3944466710090637,0.03,0.06,0.6202974319458008,0.7417598962783813,0.20000178015131287,2464.16845703125,925.4450073242188,0.3755607716995977,80.0,15.0,0.20000178015131287,80.0
11pm.webp,data\real\images\11pm.webp,real,500,642,0.5443935178191833,0.49884942917949443,0.044393517819183326,-0.0011505708205055698,0.04440842529943104,0.23333985358748066,0.006815247253136379,0.2161796400366456,0.2804126891227808,0.16715035054510458,0.33625720226045547,0.5291903787361389,0.7579676514160352,0.49964526061288295,0.24269425868988037,0.12476351112127304,0.25792425870895386,0.31391900311526477,0.10135202492211838,0.49689561689309647,0.2908694896132625,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),3766,101,0.026818906001062136,0.0010467289719626168,5.0,0.032,0.03271028037383177,0.7619047615419501,0.984,0.48364485981308414,5.207921028137207,0.4058198630809784,5.062520980834961,0.3373728310774736,0.33737283107723026,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.46198219060897827,0.40116190910339355,0.03,0.06,0.4117806553840637,0.4781709909439087,0.2,1308.7945556640625,78.71066284179688,0.06013981529840555,80.0,15.0,0.2,80.0
12_4_7_10.webp,data\real\images\12_4_7_10.webp,real,750,749,0.5033230537319998,0.49802962431167974,0.0033230537319998144,-0.0019703756883202583,0.0038632973557417797,0.010532315112067113,-0.0020937732645560717,0.24840802389941177,0.25263882595095943,0.24632580015360125,0.2526272764322139,0.8910362631577209,0.8145309298828404,0.7948653557372666,0.041199762374162674,0.07012683153152466,0.07756248861551285,0.2500792167334223,0.18053226524254562,0.5169402778051683,0.4231607657838326,low_gradient,blank = grad_mag <= P25.0 (thr=0.000417),11857,586,0.049422282196171036,0.0038486871384067647,4.0,0.06266666666666666,0.06141522029372497,1.0217391302126655,0.9686666666666667,0.030707610146862484,6.283276557922363,0.728475034236908,5.5066022872924805,1.459758185568616,0.7298790927841764,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000417),0.00041686370968818665,25.0,0.34262317419052124,0.31787949800491333,0.03,0.06,0.6193640232086182,0.6177445650100708,0.20000178015131287,3393.35498046875,980.285888671875,0.2888839789268295,80.0,15.0,0.20000178015131287,80.0
around_the_clock.webp,data\real\images\around_the_clock.webp,real,750,799,0.5213365667804765,0.4862498759454242,0.021336566780476462,-0.013750124054575819,0.025383360563446998,0.10476033106666924,-0.04008334612183237,0.2196494337514316,0.30039226267458635,0.2279704007152338,0.25198792622385,0.7625806050674349,0.7887226573016636,0.6906659128396684,0.13247396051883698,0.11788736283779144,0.17260052263736725,0.4384931163954944,0.22227450980392158,0.5053767173681286,0.38639267980905506,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),11932,900,0.07542742205833054,0.00392156862745098,4.0,0.06266666666666666,0.0625782227784731,0.939999999812,0.9686666666666667,0.9687108886107635,6.55222225189209,0.7199888825416565,5.2173004150390625,1.9519953962499526,0.9759976981248003,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.4797753095626831,0.37602365016937256,0.03,0.06,0.4027659296989441,0.5309464931488037,0.20000166875260741,1835.6876220703125,423.2696228027344,0.23057824093353074,80.0,15.0,0.20000166875260741,80.0
around_the_clock_alizarin.webp,data\real\images\around_the_clock_alizarin.webp,real,1000,704,0.502786634674721,0.45766811830025067,0.002786634674720956,-0.04233188169974933,0.04242350222520448,0.010824309150291837,-0.14893858838053758,0.28453798426421,0.2899312968413379,0.21004980882176066,0.21548088390324968,0.9511366909483263,0.6170686426354528,0.6114426119470129,0.020720764994621277,0.16238422691822052,0.1647699773311615,0.32766761363636365,0.10357386363636363,0.4895091337977947,0.3414185306317606,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),14536,687,0.04726197028068244,0.001,5.0,0.032,0.03125,1.4545454538842975,0.984,0.984375,6.705967903137207,0.5768527984619141,5.900658130645752,1.5642458341880952,0.9869292386891744,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.3627934455871582,0.2896709442138672,0.03,0.06,0.6355590224266052,0.7097288370132446,0.20008380681818183,2554.453125,622.9866333007812,0.2438825857485024,80.0,15.0,0.20008380681818183,80.0
Belly_breast.webp,data\real\images\Belly_breast.webp,real,1000,667,0.539092436660166,0.48743773340653523,0.03909243666016604,-0.012562266593464766,0.04106128524528153,0.07400029378944809,-0.0473623408123722,0.22976004615976114,0.2939211811382623,0.23323983539143348,0.24307893731054306,0.5443648317945766,0.7019934389443258,0.558059595826734,0.1876123696565628,0.12270720303058624,0.1819734126329422,0.25000299850074964,0.10929235382308845,0.06114919476528848,0.4636974840243189,low_gradient,blank = grad_mag <= P25.0 (thr=0.006417),15904,761,0.047849597585513076,0.0009760119940029986,5.0,0.031,0.031484257871064465,1.4761904754875284,0.0465,0.8268365817091454,6.826543807983398,0.3956129252910614,6.457691669464111,1.2757180194195308,0.8048884556187881,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.006417),0.006417349446564913,25.0,0.3926844000816345,0.35906386375427246,0.03,0.06,0.2728915810585022,0.26688671112060547,0.2,2318.422119140625,2453.455810546875,1.0582437901540211,80.0,15.0,0.2,80.0
Belly_breast_face_brain_placenta.webp,data\real\images\Belly_breast_face_brain_placenta.webp,real,750,680,0.47784849056902323,0.46949173233206454,-0.022151509430976768,-0.030508267667935463,0.037702039283957156,-0.06335345988374619,-0.095485951757137,0.2839240462105063,0.26381899227917344,0.24775274634247801,0.20450427777895347,0.8175837213604983,0.7169267705416797,0.6692286447903326,0.08926106244325638,0.1385151445865631,0.161855086684227,0.2517960784313725,0.03211372549019608,0.49819554687181994,0.030507118588062897,low_gradient,blank = grad_mag <= P25.0 (thr=0.002519),15436,568,0.03679709769370303,0.0002588235294117647,6.0,0.016,0.016176470588235296,1.0909090899173552,0.992,0.9919117647058824,6.901408672332764,0.29811280965805054,6.67844820022583,0.9060611330692909,0.9060611330686372,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.002519),0.0025192201137542725,25.0,0.42972880601882935,0.3468301594257355,0.03,0.06,0.29069703817367554,0.3582342267036438,0.2,2420.220703125,1853.6964111328125,0.7659204008674301,80.0,15.0,0.2,80.0
Bellyscape_and_plumb_bob.webp,data\real\images\Bellyscape_and_plumb_bob.webp,real,750,595,0.499821824333724,0.45883675457885015,-0.00017817566627598147,-0.04116324542114985,0.041163631037238045,0.005152474272567509,-0.14971304057422735,0.28551463871446486,0.2893419203936177,0.21190917591054323,0.21323431674266605,0.9627373700258395,0.6709227464271221,0.6701858736599122,0.025206364691257477,0.22260482609272003,0.22310328483581543,0.2723406162464986,0.20304313725490197,0.5063933868974042,0.4017688904981028,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),11617,668,0.057501936816734094,0.003896918767507003,4.0,0.06266666666666666,0.06218487394957983,1.270270269926954,0.9686666666666667,0.031092436974789917,6.438622951507568,0.7284668684005737,5.199584007263184,1.909785504375467,0.9548927521875613,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.6451609134674072,0.5689847469329834,0.03,0.06,0.14262929558753967,0.1833544373512268,0.2,1629.9490966796875,550.7390747070312,0.33788728483947367,80.0,15.0,0.2,80.0
Birth_perspective_from_above_and_below.webp,data\real\images\Birth_perspective_from_above_and_below.webp,real,750,571,0.5018103902419214,0.4915423652720756,0.0018103902419214224,-0.008457634727924379,0.008649225284326729,0.008699637036178615,-0.021938966320596182,0.2545107792568327,0.25645867452034404,0.2411393434588353,0.2478911146146239,0.9255749183456372,0.902876202551501,0.8925598983236085,0.04620766639709473,0.060300424695014954,0.06670542061328888,0.25002918855808526,0.03303210741389375,0.9790084358358074,0.4746585706280983,low_gradient,blank = grad_mag <= P25.0 (thr=0.002262),12838,948,0.07384327776912292,0.0010087565674255692,5.0,0.032,0.03152364273204904,1.3333333325925925,0.984,0.8581436077057794,6.7848100662231445,0.42109617590904236,6.431587219238281,1.2054149465164574,0.7605321551567493,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.002262),0.0022617303766310215,25.0,0.5516390204429626,0.5712459683418274,0.03,0.06,0.32440754771232605,0.4110300540924072,0.2,1990.4130859375,2042.0400390625,1.025937808327071,80.0,15.0,0.2,80.0
Blue_0_with_red_halo.webp,data\real\images\Blue_0_with_red_halo.webp,real,500,640,0.5001518197947891,0.4928497967233777,0.00015181979478906538,-0.007150203276622302,0.00715181488484637,0.004066240692684461,-0.007278533905230431,0.2502443918478854,0.25339487510472986,0.2477224655559683,0.24863822299180832,0.9688344558525201,0.8202268334128335,0.8174760817987177,0.017098521813750267,0.09862992912530899,0.1001390889286995,0.250846875,0.108734375,0.5161064520764478,0.3449703172151171,low_gradient,blank = grad_mag <= P25.0 (thr=0.001119),3835,137,0.03572359843546284,0.001,5.0,0.032,0.03125,0.7999999996,0.984,0.859375,5.481751918792725,0.49966686964035034,5.189547061920166,0.700523474541839,0.7005234745413337,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001119),0.0011192262172698975,25.0,0.4907562732696533,0.3529754877090454,0.03,0.06,0.5249877572059631,0.7807440161705017,0.200459375,2209.0205078125,478.822509765625,0.2167578381776162,80.0,15.0,0.200459375,80.0
