image,path,set,width,height,x_com_norm,y_com_norm,dx,dy,d,lr_imbalance,tb_imbalance,q_tl,q_tr,q_bl,q_br,sym_lr,sym_tb,sym_rot180,sym_lr_diff,sym_tb_diff,sym_rot180_diff,neg_space_pct,neg_largest_region_pct,neg_largest_centroid_x_norm,neg_largest_centroid_y_norm,neg_method,neg_rule,qt_total_leaves,qt_blank_leaves,qt_blank_leaf_ratio,qt_largest_blank_leaf_area_pct,qt_largest_blank_leaf_depth,qt_largest_blank_rect_w_norm,qt_largest_blank_rect_h_norm,qt_largest_blank_rect_aspect,qt_largest_blank_rect_cx_norm,qt_largest_blank_rect_cy_norm,qt_blank_leaf_depth_mean,qt_blank_leaf_depth_std,qt_blank_leaf_depth_wmean,qt_blank_depth_entropy,qt_blank_depth_entropy_norm,qt_blank_depth_max,qt_max_depth,qt_min_size,qt_mask_method,qt_rule,qt_thr,qt_blank_percentile,rot_thirds_luma_mean,rot_intersections_luma_mean,rot_band_frac,rot_patch_frac,rot_thirds_sat_mean,rot_intersections_sat_mean,lines_edge_pct,lines_static_energy,lines_dynamic_energy,lines_dynamic_to_static,lines_edge_percentile,lines_angle_band_deg,detail_edge_density,detail_edge_percentile,z_d,z_detail_edge_density,z_dx,z_dy,z_lines_dynamic_energy,z_lines_dynamic_to_static,z_lines_edge_pct,z_lines_static_energy,z_lr_imbalance,z_neg_largest_centroid_x_norm,z_neg_largest_centroid_y_norm,z_neg_largest_region_pct,z_neg_space_pct,z_q_bl,z_q_br,z_q_tl,z_q_tr,z_qt_blank_depth_entropy_norm,z_qt_blank_leaf_depth_wmean,z_qt_blank_leaf_ratio,z_qt_largest_blank_leaf_area_pct,z_qt_largest_blank_rect_aspect,z_qt_largest_blank_rect_cx_norm,z_qt_largest_blank_rect_cy_norm,z_qt_largest_blank_rect_h_norm,z_qt_largest_blank_rect_w_norm,z_rot_intersections_luma_mean,z_rot_intersections_sat_mean,z_rot_thirds_luma_mean,z_rot_thirds_sat_mean,z_sym_lr,z_sym_rot180,z_sym_tb,z_tb_imbalance,z_x_com_norm,z_y_com_norm,score_weight_com,score_symmetry,score_negspace,score_composition,score_sym_neg,BalanceIndex,q1_weight_stability_1to7,q2_symmetry_equilibrium_1to7,q3_negative_space_support_1to7,q4_compositional_placement_1to7,q5_directional_dynamics_1to7,q6_overall_balance_1to7,pull_direction,pull_strength_1to7,rater_id,notes,QualBalanceIndex,BalanceIndex_comp,BalanceIndex_comp_z,QualBalanceIndex_z,BalanceGap_z,HybridBalanceIndex_z,HybridBalanceIndex_1to7
10pm_feeding_around_the_clock.webp,data\real\images\10pm_feeding_around_the_clock.webp,real,750,749,0.4778281599118691,0.5447328083607023,-0.0221718400881308,0.0447328083607022,0.049926091742985,-0.0745879216833646,0.1625230157574047,0.2107695178271837,0.2079689444925375,0.3265243983121341,0.2547370797649919,0.6512201321209288,0.43804198073053,0.333035772083748,0.1627642959356308,0.2622476518154144,0.3112506568431854,0.2558059635068981,0.0021094793057409,0.8394970464135022,0.1535211505636206,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),15790,178,0.011272957568081,0.000256341789052,6.0,0.016,0.0160213618157543,0.9999999991666666,0.116,0.1789052069425901,6.994381904602051,0.0747423321008682,6.976451396942139,0.1609264200896794,0.1609264200895633,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),0.0009854882955551,25.0,0.4312816262245178,0.3944466710090637,0.03,0.06,0.6202974319458008,0.7417598962783813,0.2000017801513128,2464.16845703125,925.4450073242188,0.3755607716995977,80.0,15.0,0.2000017801513128,80.0,0.9221698542028084,-0.1565283369835151,-1.9782814998059852,1.7658719340685751,0.0251200965630759,-0.1866519513175493,-0.1565283369835151,0.2618586954198449,-1.7444504662163829,1.6533144019073678,-1.3822362743655028,-1.0033863550295137,-0.2496457299333464,2.645850695451504,0.3547773084616248,-1.4091975434459711,-1.7642460126889037,-1.0099900466889222,2.382085183707795,-0.60486227261341,-0.4785357704139316,0.2920273664340549,-1.9904703195092088,-1.610865366152147,-0.8409258007603074,-0.8374852767294618,-0.1283622911350689,1.1094452540194353,-0.2350528212669373,1.0412720256755357,-2.107270245841676,-1.8484330037238448,-1.4146972846425712,1.7203458943883536,-1.9782814998059788,1.7658719340685751,0.0273118726071108,-1.7901335114026975,-0.4369981738574257,0.1749524815545895,-1.1135658426300616,-0.3037671628227871,3,1,4,4,4,5,down,3,simulated_v2_cohesive,,3.5,-0.3037671628227871,-1.1587578170763473,-0.812554905381313,0.34620291169503425,-0.9856563612288302,3.0
11pm.webp,data\real\images\11pm.webp,real,500,642,0.5443935178191833,0.4988494291794944,0.0443935178191833,-0.0011505708205055,0.044408425299431,0.2333398535874806,0.0068152472531363,0.2161796400366456,0.2804126891227808,0.1671503505451045,0.3362572022604554,0.5291903787361389,0.7579676514160352,0.4996452606128829,0.2426942586898803,0.124763511121273,0.2579242587089538,0.3139190031152647,0.1013520249221183,0.4968956168930964,0.2908694896132625,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),3766,101,0.0268189060010621,0.0010467289719626,5.0,0.032,0.0327102803738317,0.7619047615419501,0.984,0.4836448598130841,5.207921028137207,0.4058198630809784,5.062520980834961,0.3373728310774736,0.3373728310772302,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.4619821906089782,0.4011619091033935,0.03,0.06,0.4117806553840637,0.4781709909439087,0.2,1308.7945556640625,78.71066284179688,0.0601398152984055,80.0,15.0,0.2,80.0,0.6974159350873402,-0.1600013824685549,3.7734834254955514,0.3526231094875002,-0.5771374171104235,-1.4538679759739594,-0.1600013824685549,-0.352037606237206,4.805718327140609,-0.0216309786069543,-0.7288769338536755,0.1907618744093038,0.9329262991396842,-2.2176558059782545,2.845216015971037,-1.242368329518866,0.6647942218339612,-0.5640131234305008,-1.1110395566211952,-0.1052033591579858,-0.1652871639954282,-1.2367259724399835,0.8313013777431849,-0.6206849546290135,-0.0701703891416029,-0.100839044733796,-0.0784303756912918,-0.028533295384567,0.0743021930142648,-0.0664935880296542,-3.2226690594010905,-0.9477299867603324,0.3743483831480733,0.3580472477905326,3.773483425495557,0.3526231094875003,1.2875800620265885,-1.2653502210044498,-0.2130370711783048,-0.3113556478166608,-0.7391936460913773,0.0790102560395167,3,2,5,4,5,4,right,3,simulated_v2_cohesive,,3.8333333333333335,0.0790102560395167,0.3305918249662637,-0.26945908173313393,-0.6000509066993976,0.03056637161656489,4.0
12_4_7_10.webp,data\real\images\12_4_7_10.webp,real,750,749,0.5033230537319998,0.4980296243116797,0.0033230537319998,-0.0019703756883202,0.0038632973557417,0.0105323151120671,-0.002093773264556,0.2484080238994117,0.2526388259509594,0.2463258001536012,0.2526272764322139,0.8910362631577209,0.8145309298828404,0.7948653557372666,0.0411997623741626,0.0701268315315246,0.0775624886155128,0.2500792167334223,0.1805322652425456,0.5169402778051683,0.4231607657838326,low_gradient,blank = grad_mag <= P25.0 (thr=0.000417),11857,586,0.049422282196171,0.0038486871384067,4.0,0.0626666666666666,0.0614152202937249,1.0217391302126655,0.9686666666666668,0.0307076101468624,6.283276557922363,0.728475034236908,5.5066022872924805,1.459758185568616,0.7298790927841764,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000417),0.0004168637096881,25.0,0.3426231741905212,0.3178794980049133,0.03,0.06,0.6193640232086182,0.6177445650100708,0.2000017801513128,3393.35498046875,980.285888671875,0.2888839789268295,80.0,15.0,0.2000017801513128,80.0,-0.9541294237351556,-0.1565283369835151,0.2246757238762981,0.3273723915478009,0.0641268205294834,-0.5348793551675607,-0.1565283369835151,0.7555726088229904,0.0662076280402545,0.0763654373614471,-0.0995737944612726,1.1435079290165,-0.3661822352949017,0.1984860898932586,0.2903228434247843,-0.2485578872033498,-0.2664639766043706,0.428065627142465,-0.3005443655475848,0.6212867896264964,0.9451932560557524,0.4316091972272178,0.7814544122771289,-2.092398885008961,1.2555289188425691,1.3110662332578966,-0.6976862011004433,0.574040371930447,-1.128421957796846,1.0363132011644691,0.0847412973381519,0.6482513267546463,0.6906540052641247,0.2801015761625178,0.2246757238763048,0.327372391547801,0.0427330073478312,0.4745488764523076,0.3181060400380578,-0.02711013173161,0.3963274582451827,0.1373167779538013,5,5,4,4,5,6,none,1,simulated_v2_cohesive,,4.833333333333333,0.1373167779538013,0.557456820816575,1.359828389211402,0.802371568394827,0.9586426050139885,5.0
around_the_clock.webp,data\real\images\around_the_clock.webp,real,750,799,0.5213365667804765,0.4862498759454242,0.0213365667804764,-0.0137501240545758,0.0253833605634469,0.1047603310666692,-0.0400833461218323,0.2196494337514316,0.3003922626745863,0.2279704007152338,0.25198792622385,0.7625806050674349,0.7887226573016636,0.6906659128396684,0.1324739605188369,0.1178873628377914,0.1726005226373672,0.4384931163954944,0.2222745098039215,0.5053767173681286,0.386392679809055,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),11932,900,0.0754274220583305,0.0039215686274509,4.0,0.0626666666666666,0.0625782227784731,0.939999999812,0.9686666666666668,0.9687108886107636,6.55222225189209,0.7199888825416565,5.217300415039063,1.9519953962499528,0.9759976981248004,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.4797753095626831,0.3760236501693725,0.03,0.06,0.4027659296989441,0.5309464931488037,0.2000016687526074,1835.6876220703125,423.2696228027344,0.2305782409335307,80.0,15.0,0.2000016687526074,80.0,-0.0775417222087573,-0.1567456739976352,1.7811834298508646,-0.0354543188983601,-0.3320626496910785,-0.769124937190807,-0.1567456739976352,-0.0720782749308791,2.0706043052250203,0.0198323044920638,-0.2744777836218571,1.6457766598937875,3.4679487812637304,-0.3616528144993564,0.2707907026744783,-1.1353720481937284,1.334709730393747,1.0501424251462357,-0.8285507752306215,1.457112277135289,0.9740778652326574,-0.0932184715799884,0.7814544122771289,0.955423948451262,1.3092406351365988,1.3110662332578966,-0.2653487547368791,0.1993116109364569,0.2535950066283565,-0.1143851931830832,-1.0893927532085537,0.0849415572310937,0.5463324253309445,-0.0522719732463425,1.7811834298508713,-0.03545431889836,0.5037022183681888,-0.1527062568821718,0.9058329624503216,-0.1570649489070204,0.376563352784075,0.2410668740817478,5,4,7,4,5,4,none,1,simulated_v2_cohesive,,4.833333333333333,0.2410668740817478,0.9611383362761613,1.359828389211402,0.39869005293524074,1.1604833627437816,5.0
around_the_clock_alizarin.webp,data\real\images\around_the_clock_alizarin.webp,real,1000,704,0.502786634674721,0.4576681183002506,0.0027866346747209,-0.0423318816997493,0.0424235022252044,0.0108243091502918,-0.1489385883805375,0.28453798426421,0.2899312968413379,0.2100498088217606,0.2154808839032496,0.9511366909483264,0.6170686426354528,0.6114426119470129,0.0207207649946212,0.1623842269182205,0.1647699773311615,0.3276676136363636,0.1035738636363636,0.4895091337977947,0.3414185306317606,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),14536,687,0.0472619702806824,0.001,5.0,0.032,0.03125,1.4545454538842977,0.984,0.984375,6.705967903137207,0.5768527984619141,5.900658130645752,1.5642458341880952,0.9869292386891744,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.3627934455871582,0.2896709442138672,0.03,0.06,0.6355590224266052,0.7097288370132446,0.2000838068181818,2554.453125,622.9866333007812,0.2438825857485024,80.0,15.0,0.2000838068181818,80.0,0.6165630519638381,0.0035043203329862,0.1783249429909025,-0.915797835817144,-0.1900097484893665,-0.7156742117239725,0.0035043203329862,0.3098305456553089,0.0724188580448996,-0.0577427827989036,-0.4884176146374859,0.2174964240949856,1.2127038215415569,-0.908523000734324,-0.8444989768395189,0.8655635047931385,0.9839533327140844,1.077772427933399,0.418649082607239,0.5518526789274139,-0.1838069295776032,3.210556474793929,0.8313013777431849,1.0063208242448756,-0.1376114876582394,-0.100839044733796,-0.9074341062231314,0.9711592426557892,-0.9251757074080188,1.1223507063642333,0.6340822899456985,-0.3433453714293039,-0.4135682623489133,-1.0046544434892897,0.1783249429909092,-0.915797835817144,-0.1540112235636044,-0.0409437812775062,0.5814027117292735,-0.0364382931670205,0.2702294652258836,0.0265933161650862,2,3,5,5,6,5,up,3,simulated_v2_cohesive,,4.333333333333333,0.0265933161650862,0.12664261899955767,0.5451846537391336,0.41854203473957596,0.3359136363693456,4.0
Belly_breast.webp,data\real\images\Belly_breast.webp,real,1000,667,0.539092436660166,0.4874377334065352,0.039092436660166,-0.0125622665934647,0.0410612852452815,0.074000293789448,-0.0473623408123722,0.2297600461597611,0.2939211811382623,0.2332398353914334,0.243078937310543,0.5443648317945766,0.7019934389443258,0.558059595826734,0.1876123696565628,0.1227072030305862,0.1819734126329422,0.2500029985007496,0.1092923538230884,0.0611491947652884,0.4636974840243189,low_gradient,blank = grad_mag <= P25.0 (thr=0.006417),15904,761,0.047849597585513,0.0009760119940029,5.0,0.031,0.0314842578710644,1.4761904754875284,0.0465,0.8268365817091454,6.826543807983398,0.3956129252910614,6.457691669464111,1.2757180194195308,0.8048884556187881,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.006417),0.0064173494465649,25.0,0.3926844000816345,0.3590638637542724,0.03,0.06,0.2728915810585022,0.2668867111206054,0.2,2318.422119140625,2453.455810546875,1.0582437901540211,80.0,15.0,0.2,80.0,0.5610751735182327,-0.1600013824685549,3.3154287610998807,0.0011327457564725,1.1119497417898123,2.5560537668335974,-0.1600013824685549,0.1844178447088868,1.4162838689521566,-2.1519532537950825,0.0932573943203069,0.2863048659696748,-0.367733239177533,-0.2008491569049969,-0.0013787955461182,-0.8235961852652942,1.117734234540554,0.617655455948294,1.4352940030620998,0.5707394790421954,-0.1933139276815564,3.349534051061523,-2.2164071086325285,0.4944364849914144,-0.1267926007897536,-0.1468794342335251,-0.3914551726073552,-0.9406998297085256,-0.6239787476805309,-0.8043552756797506,-3.0839687304376784,-0.6319378405535272,0.0613368573272982,-0.1159564297816201,3.3154287610998874,0.0011327457564726,0.7805850657477843,-1.2181899045546356,0.1264724746219637,0.0857699514132249,-0.5458587149663359,0.1068321007315577,3,2,4,3,1,5,right,3,simulated_v2_cohesive,,3.0,0.1068321007315577,0.4388439119263942,-1.6271986408535815,-2.0660425527799755,-0.5941773644635936,3.0
Belly_breast_face_brain_placenta.webp,data\real\images\Belly_breast_face_brain_placenta.webp,real,750,680,0.4778484905690232,0.4694917323320645,-0.0221515094309767,-0.0305082676679354,0.0377020392839571,-0.0633534598837461,-0.095485951757137,0.2839240462105063,0.2638189922791734,0.247752746342478,0.2045042777789534,0.8175837213604983,0.7169267705416797,0.6692286447903326,0.0892610624432563,0.1385151445865631,0.161855086684227,0.2517960784313725,0.032113725490196,0.4981955468718199,0.0305071185880628,low_gradient,blank = grad_mag <= P25.0 (thr=0.002519),15436,568,0.036797097693703,0.0002588235294117,6.0,0.016,0.0161764705882352,1.0909090899173552,0.992,0.9919117647058824,6.901408672332764,0.2981128096580505,6.67844820022583,0.9060611330692908,0.9060611330686372,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.002519),0.0025192201137542,25.0,0.4297288060188293,0.3468301594257355,0.03,0.06,0.2906970381736755,0.3582342267036438,0.2,2420.220703125,1853.6964111328125,0.7659204008674301,80.0,15.0,0.2,80.0,0.4242412958628533,-0.1600013824685549,-1.9765247728176036,-0.5516200239177768,0.685358323776387,1.3816331211277555,-0.1600013824685549,0.2385074984114517,-1.5054735794276006,-0.015275746184536,-1.9674080162400247,-0.6423565443340822,-0.3312449366186431,0.2420312100933634,-1.1798341546117723,0.8466318062225971,0.1084072283354174,0.8733743405339046,1.8381979397482573,0.2155035080291991,-0.4775521996704077,0.8757331868678656,0.8573084901602577,1.030809782960055,-0.833762309287616,-0.8374852767294618,-0.4824202704216034,-0.5463299940625999,-0.250699853383065,-0.7097620565933644,-0.586643145398559,-0.0309498735508677,0.1448450426588535,-0.5369934190674569,-1.9765247728175968,-0.5516200239177766,-0.6052072005512139,-0.1575826587635243,0.0450647860949821,-0.000412888453572,-0.0562589363342711,-0.2206263417796856,4,4,4,3,3,2,up,3,simulated_v2_cohesive,,3.3333333333333335,-0.2206263417796856,-0.8352649829700185,-1.0841028172054024,-0.24883783423538386,-0.9596839000877104,3.0
Bellyscape_and_plumb_bob.webp,data\real\images\Bellyscape_and_plumb_bob.webp,real,750,595,0.499821824333724,0.4588367545788501,-0.0001781756662759,-0.0411632454211498,0.041163631037238,0.0051524742725675,-0.1497130405742273,0.2855146387144648,0.2893419203936177,0.2119091759105432,0.213234316742666,0.9627373700258396,0.6709227464271221,0.6701858736599122,0.0252063646912574,0.22260482609272,0.2231032848358154,0.2723406162464986,0.2030431372549019,0.5063933868974042,0.4017688904981028,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),11617,668,0.057501936816734,0.003896918767507,4.0,0.0626666666666666,0.0621848739495798,1.270270269926954,0.9686666666666668,0.0310924369747899,6.438622951507568,0.7284668684005737,5.199584007263184,1.909785504375467,0.9548927521875612,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.6451609134674072,0.5689847469329834,0.03,0.06,0.1426292955875396,0.1833544373512268,0.2,1629.9490966796875,550.7390747070312,0.3378872848394736,80.0,15.0,0.2,80.0,0.5652440768186626,-0.1600013824685549,-0.0778577422019266,-0.8798028006526473,-0.2413973357428981,-0.3380066577344227,-0.1600013824685549,-0.1813953710641941,-0.0482311086054494,0.0248027038682532,-0.2013339003766715,1.4143727863186195,0.0868263935704485,-0.8517819939547415,-0.9131315750798902,0.895680106212875,0.9641915284051062,0.9967986433036962,-0.8608850867556723,0.8809731938500494,0.9643085591978248,2.027369000920775,0.7814544122771289,-2.0911484800050406,1.2910743448842792,1.3110662332578966,1.1694353932257335,-1.301329331970295,1.920107231522438,-1.4963863102409312,0.7401169521541899,-0.0257750246370007,-0.1124125255342028,-1.0114301823329772,-0.07785774220192,-0.8798028006526472,-0.2104345667495959,0.2006431339943287,0.5096676003316605,-0.0876639052157421,0.3551553671629946,0.0190189650658855,3,5,4,4,4,4,up,3,simulated_v2_cohesive,,4.0,0.0190189650658855,0.09717155685637081,0.00208883009095525,-0.09508272676541557,0.04963019347366303,4.0
Birth_perspective_from_above_and_below.webp,data\real\images\Birth_perspective_from_above_and_below.webp,real,750,571,0.5018103902419214,0.4915423652720756,0.0018103902419214,-0.0084576347279243,0.0086492252843267,0.0086996370361786,-0.0219389663205961,0.2545107792568327,0.256458674520344,0.2411393434588353,0.2478911146146239,0.9255749183456372,0.902876202551501,0.8925598983236085,0.0462076663970947,0.0603004246950149,0.0667054206132888,0.2500291885580852,0.0330321074138937,0.9790084358358074,0.4746585706280983,low_gradient,blank = grad_mag <= P25.0 (thr=0.002262),12838,948,0.0738432777691229,0.0010087565674255,5.0,0.032,0.031523642732049,1.3333333325925925,0.984,0.8581436077057794,6.7848100662231445,0.4210961759090423,6.431587219238281,1.2054149465164574,0.7605321551567493,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.002262),0.002261730376631,25.0,0.5516390204429626,0.5712459683418274,0.03,0.06,0.324407547712326,0.4110300540924072,0.2,1990.4130859375,2042.0400390625,1.025937808327071,80.0,15.0,0.2,80.0,-0.7591817824528027,-0.1600013824685549,0.0939698270022561,0.1275590522498007,0.8193216687290672,2.4262632217459745,-0.1600013824685549,0.0101335440550258,0.0272233216378988,2.335372143374284,0.1453987479347103,-0.6313060000204425,-0.3672002842769867,0.0402146134026154,0.1456331600130523,-0.0603702937165783,-0.1383843761892054,0.5055427397051235,1.387650629954523,1.4061966435401816,-0.1803365006506458,2.432282045681774,0.8313013777431849,0.596161362580897,-0.1249736635929502,-0.100839044733796,1.1862489617991832,-0.3183973388918071,0.9777315087221689,-0.5306717027947034,0.4004378709193731,1.176395131919747,1.1846866566577707,0.106474531722697,0.0939698270022628,0.1275590522498008,-0.0177575515525638,0.9205065531656302,0.6334807844030661,0.4722918998253111,0.7769936687843482,0.4105093390190318,5,6,4,5,2,7,none,1,simulated_v2_cohesive,,4.833333333333333,0.4105093390190318,1.620422458237239,1.359828389211402,-0.26059406902583704,1.4901254237243204,5.0
Blue_0_with_red_halo.webp,data\real\images\Blue_0_with_red_halo.webp,real,500,640,0.5001518197947891,0.4928497967233777,0.000151819794789,-0.0071502032766223,0.0071518148848463,0.0040662406926844,-0.0072785339052304,0.2502443918478854,0.2533948751047298,0.2477224655559683,0.2486382229918083,0.96883445585252,0.8202268334128335,0.8174760817987177,0.0170985218137502,0.0986299291253089,0.1001390889286995,0.250846875,0.108734375,0.5161064520764478,0.3449703172151171,low_gradient,blank = grad_mag <= P25.0 (thr=0.001119),3835,137,0.0357235984354628,0.001,5.0,0.032,0.03125,0.7999999996,0.984,0.859375,5.481751918792725,0.4996668696403503,5.189547061920166,0.700523474541839,0.7005234745413337,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001119),0.0011192262172698,25.0,0.4907562732696533,0.3529754877090454,0.03,0.06,0.5249877572059631,0.7807440161705017,0.200459375,2209.0205078125,478.822509765625,0.2167578381776162,80.0,15.0,0.200459375,80.0,-0.8201765633534571,0.7362315715317104,-0.0493435663883525,0.1678291019877623,-0.2925494968377989,-0.8246489456121902,0.7362315715317104,0.1262883988990202,-0.0713372194166232,0.0722889437098315,-0.4715219393362954,0.2795909166295293,-0.3505607637618451,0.2411071524809617,0.1684573114530622,-0.1919307336080049,-0.2411136330632025,0.353867867998433,-0.8792035699147075,0.1810004041960777,-0.1838069295776032,-0.9921254379755364,0.8313013777431849,0.6001624845784862,-0.1376114876582394,-0.100839044733796,-0.4367259840975521,1.2777493491722027,0.3642449654320646,0.5349301280538916,0.7958466583005698,0.7704865569271655,0.7225058773338248,0.2347397263873043,-0.0493435663883458,0.1678291019877624,-0.0402984443564666,0.7629463641871866,-0.0613428598540369,0.2468612842303398,0.3508017521665748,0.1857881973468159,4,7,4,4,6,4,none,1,simulated_v2_cohesive,,4.833333333333333,0.1857881973468159,0.746054391009849,1.359828389211402,0.613773998201553,1.0529413901106255,5.0
