image,set,path,q1_weight_stability_1to7,q2_symmetry_equilibrium_1to7,q3_negative_space_support_1to7,q4_compositional_placement_1to7,q5_directional_dynamics_1to7,q6_overall_balance_1to7,pull_direction,pull_strength_1to7,notes,rater_id
10pm_feeding_around_the_clock.webp,real,data\real\images\10pm_feeding_around_the_clock.webp,3,1,4,4,4,5,down,3,,simulated_v2_cohesive
11pm.webp,real,data\real\images\11pm.webp,3,2,5,4,5,4,right,3,,simulated_v2_cohesive
12_4_7_10.webp,real,data\real\images\12_4_7_10.webp,5,5,4,4,5,6,none,1,,simulated_v2_cohesive
around_the_clock.webp,real,data\real\images\around_the_clock.webp,5,4,7,4,5,4,none,1,,simulated_v2_cohesive
around_the_clock_alizarin.webp,real,data\real\images\around_the_clock_alizarin.webp,2,3,5,5,6,5,up,3,,simulated_v2_cohesive
Belly_breast.webp,real,data\real\images\Belly_breast.webp,3,2,4,3,1,5,right,3,,simulated_v2_cohesive
Belly_breast_face_brain_placenta.webp,real,data\real\images\Belly_breast_face_brain_placenta.webp,4,4,4,3,3,2,up,3,,simulated_v2_cohesive
Bellyscape_and_plumb_bob.webp,real,data\real\images\Bellyscape_and_plumb_bob.webp,3,5,4,4,4,4,up,3,,simulated_v2_cohesive
Birth_perspective_from_above_and_below.webp,real,data\real\images\Birth_perspective_from_above_and_below.webp,5,6,4,5,2,7,none,1,,simulated_v2_cohesive
Blue_0_with_red_halo.webp,real,data\real\images\Blue_0_with_red_halo.webp,4,7,4,4,6,4,none,1,,simulated_v2_cohesive
Blue_eye.webp,real,data\real\images\Blue_eye.webp,5,6,3,6,5,3,none,1,,simulated_v2_cohesive
Blue_Nip.webp,real,data\real\images\Blue_Nip.webp,3,1,4,5,5,7,right,4,,simulated_v2_cohesive
Boob_Wheel.webp,real,data\real\images\Boob_Wheel.webp,4,3,7,5,3,4,none,1,,simulated_v2_cohesive
Book_of_Birth_1.webp,real,data\real\images\Book_of_Birth_1.webp,5,5,5,2,4,3,none,1,,simulated_v2_cohesive
Book_of_Birth_2.webp,real,data\real\images\Book_of_Birth_2.webp,5,4,5,4,3,4,none,1,,simulated_v2_cohesive
cascade.webp,real,data\real\images\cascade.webp,4,4,7,4,4,4,none,1,,simulated_v2_cohesive
Colostrum_well.webp,real,data\real\images\Colostrum_well.webp,5,4,3,5,4,3,none,1,,simulated_v2_cohesive
Deep_Breath.webp,real,data\real\images\Deep_Breath.webp,4,5,3,3,5,4,none,1,,simulated_v2_cohesive
Deep_Tear.webp,real,data\real\images\Deep_Tear.webp,5,5,4,1,3,3,none,1,,simulated_v2_cohesive
Descent_into_chaos.webp,real,data\real\images\Descent_into_chaos.webp,4,4,4,3,2,3,none,1,,simulated_v2_cohesive
Eclipse.webp,real,data\real\images\Eclipse.webp,5,5,6,3,3,6,none,1,,simulated_v2_cohesive
Eight_Centimeters_Dilated.webp,real,data\real\images\Eight_Centimeters_Dilated.webp,4,4,3,2,4,5,none,1,,simulated_v2_cohesive
Empty_Belly.webp,real,data\real\images\Empty_Belly.webp,5,4,5,2,4,3,none,1,,simulated_v2_cohesive
Engorged.webp,real,data\real\images\Engorged.webp,3,4,4,5,4,3,up,4,,simulated_v2_cohesive
Expanding_Figure.webp,real,data\real\images\Expanding_Figure.webp,4,5,5,2,3,5,none,1,,simulated_v2_cohesive
Feeding_around_the_clock.webp,real,data\real\images\Feeding_around_the_clock.webp,4,5,7,5,5,5,none,1,,simulated_v2_cohesive
Finding_Time.webp,real,data\real\images\Finding_Time.webp,5,4,4,5,3,7,none,1,,simulated_v2_cohesive
Four_breasts_pink_purple_red_yellow.webp,real,data\real\images\Four_breasts_pink_purple_red_yellow.webp,5,5,4,5,3,4,none,1,,simulated_v2_cohesive
Fourteen_Saints.webp,real,data\real\images\Fourteen_Saints.webp,5,5,5,3,4,5,none,1,,simulated_v2_cohesive
Fuchsia_Brain.webp,real,data\real\images\Fuchsia_Brain.webp,5,5,5,5,5,5,none,1,,simulated_v2_cohesive
Full_Bodied.webp,real,data\real\images\Full_Bodied.webp,6,5,7,5,3,7,none,1,,simulated_v2_cohesive
Fully_Dilated.webp,real,data\real\images\Fully_Dilated.webp,3,4,4,3,3,5,up,3,,simulated_v2_cohesive
Green_Brain.webp,real,data\real\images\Green_Brain.webp,5,7,5,6,5,6,none,1,,simulated_v2_cohesive
Heavy_Burden.webp,real,data\real\images\Heavy_Burden.webp,4,3,2,2,6,3,none,1,,simulated_v2_cohesive
Horizon_on_my_pit_of_Hell.webp,real,data\real\images\Horizon_on_my_pit_of_Hell.webp,4,3,4,4,4,3,none,1,,simulated_v2_cohesive
Juggling_Act.webp,real,data\real\images\Juggling_Act.webp,4,4,5,4,4,4,up,3,,simulated_v2_cohesive
Let_down.webp,real,data\real\images\Let_down.webp,3,5,7,4,5,5,up,3,,simulated_v2_cohesive
Lingam_Twist_Blue_Orange.webp,real,data\real\images\Lingam_Twist_Blue_Orange.webp,4,5,3,6,3,7,none,1,,simulated_v2_cohesive
Linked_Lingam_Orange.webp,real,data\real\images\Linked_Lingam_Orange.webp,4,4,3,6,1,7,none,1,,simulated_v2_cohesive
Linked_Lingams_Yellow_Purple.webp,real,data\real\images\Linked_Lingams_Yellow_Purple.webp,4,2,4,6,1,3,up,2,,simulated_v2_cohesive
